id,problem_type,subject,message,image,sent_at,user_id
1,General,123,123,"","2024-08-07 14:04:35.004874",5
2,General,Test,"Test on account support","","2024-08-07 15:01:19.531090",10
3,General,problem,"having an issue","","2024-08-07 21:30:56.134910",13
4,Financial,,"its slow","","2024-08-08 13:15:09.383023",15
5,Other,"cant fill the select expense","help out","","2024-08-09 09:18:37.057370",20
6,Technical,heiheh,jrvujuej,"","2024-08-09 18:50:01.492816",22
7,General,budget,"budget wasn't created successfully","","2024-08-10 20:52:57.433718",24
8,Other,"Check out the account support","Trying out the account support functionality","","2024-08-12 09:15:08.954565",26
